customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid
154536156,01-09-2022,,39,month,Yes
149713408,01-09-2022,02-09-2022,39,month,No
153756284,01-09-2022,02-09-2022,39,month,No
121253113,01-09-2022,23-09-2022,39,month,Yes
154467210,01-09-2022,29-06-2023,39,month,Yes
154510811,01-09-2022,08-05-2023,39,month,Yes
154494346,01-09-2022,26-11-2022,39,month,Yes
148671505,01-09-2022,23-11-2022,39,month,Yes
154568379,01-09-2022,25-10-2022,39,month,Yes
154428434,01-09-2022,31-10-2022,39,month,Yes
154601651,01-09-2022,26-09-2022,39,month,Yes
122824692,01-09-2022,15-09-2022,39,month,Yes
152925600,02-09-2022,,39,month,Yes
151154171,02-09-2022,02-09-2022,39,month,Yes
154640950,02-09-2022,09-12-2022,39,month,Yes
154617329,02-09-2022,27-10-2022,39,month,Yes
154089211,02-09-2022,09-10-2022,39,month,Yes
154653820,02-09-2022,26-09-2022,39,month,Yes
154131290,03-09-2022,,39,month,Yes
154434009,03-09-2022,,39,month,Yes
136108848,03-09-2022,04-09-2022,39,month,Yes
135185873,03-09-2022,10-05-2023,39,month,Yes
154592664,03-09-2022,01-04-2023,39,month,Yes
119436804,03-09-2022,10-04-2023,39,month,Yes
152929657,03-09-2022,23-11-2022,39,month,Yes
154708974,03-09-2022,18-10-2022,39,month,Yes
154567722,03-09-2022,29-09-2022,39,month,Yes
154719788,03-09-2022,25-09-2022,39,month,Yes
154809306,04-09-2022,05-09-2022,39,month,Yes
140391539,04-09-2022,05-04-2023,39,month,Yes
153194806,04-09-2022,16-04-2023,39,month,Yes
144402204,04-09-2022,22-09-2022,39,month,Yes
154747678,04-09-2022,15-01-2023,39,month,Yes
130939158,04-09-2022,19-02-2023,39,month,Yes
150912359,04-09-2022,02-11-2022,39,month,Yes
154132592,04-09-2022,01-11-2022,39,month,Yes
153368891,04-09-2022,11-10-2022,39,month,Yes
154225450,05-09-2022,,39,month,Yes
154904040,05-09-2022,06-09-2022,39,month,Yes
127604200,05-09-2022,06-10-2022,39,month,Yes
154913576,05-09-2022,13-03-2023,39,month,Yes
154910432,05-09-2022,13-03-2023,39,month,Yes
154911229,05-09-2022,12-03-2023,39,month,Yes
154518837,05-09-2022,03-01-2023,39,month,Yes
154910009,05-09-2022,08-02-2023,39,month,Yes
154911693,05-09-2022,08-02-2023,39,month,Yes
154894177,05-09-2022,12-12-2022,39,month,Yes
154494026,05-09-2022,12-12-2022,39,month,Yes
154245189,05-09-2022,26-11-2022,39,month,Yes
154604182,05-09-2022,19-10-2022,39,month,Yes
154711552,05-09-2022,05-10-2022,39,month,Yes
154827564,05-09-2022,09-10-2022,39,month,Yes
143581543,05-09-2022,12-10-2022,39,month,Yes
154867798,05-09-2022,05-10-2022,39,month,Yes
154863996,05-09-2022,09-09-2022,39,month,Yes
154923423,06-09-2022,,39,month,Yes
134664128,06-09-2022,,39,month,Yes
154828806,06-09-2022,20-11-2022,39,month,Yes
154934030,06-09-2022,13-11-2022,39,month,Yes
153671424,06-09-2022,13-10-2022,39,month,Yes
154693818,06-09-2022,13-10-2022,39,month,Yes
154110938,06-09-2022,26-09-2022,39,month,Yes
154809306,06-09-2022,28-09-2022,39,month,Yes
154537244,07-09-2022,,39,month,Yes
154163218,07-09-2022,,39,month,Yes
129467426,07-09-2022,25-05-2023,39,month,Yes
152498330,07-09-2022,22-02-2023,39,month,Yes
125335731,07-09-2022,14-09-2022,39,month,Yes
155113805,08-09-2022,,39,month,Yes
148864769,08-09-2022,28-10-2022,39,month,Yes
123850281,08-09-2022,15-10-2022,39,month,Yes
155167073,08-09-2022,06-10-2022,39,month,Yes
153684891,08-09-2022,09-09-2022,39,month,Yes
131277340,09-09-2022,01-03-2023,39,month,Yes
152027172,09-09-2022,02-12-2022,39,month,Yes
155212612,09-09-2022,03-11-2022,39,month,Yes
155188498,09-09-2022,09-10-2022,39,month,Yes
155145336,09-09-2022,03-10-2022,39,month,Yes
152506474,09-09-2022,16-10-2022,39,month,Yes
118029150,09-09-2022,16-08-2023,39,month,Yes
155245796,10-09-2022,,39,month,Yes
155326259,10-09-2022,21-02-2023,39,month,Yes
155311918,10-09-2022,12-12-2022,39,month,Yes
154391473,10-09-2022,12-10-2022,39,month,Yes
155283495,10-09-2022,08-10-2022,39,month,Yes
154597373,10-09-2022,06-10-2022,39,month,Yes
155370310,11-09-2022,16-05-2023,39,month,Yes
155289120,11-09-2022,15-02-2023,39,month,Yes
155351408,11-09-2022,11-12-2022,39,month,Yes
155336773,11-09-2022,24-12-2022,39,month,Yes
155017581,11-09-2022,02-11-2022,39,month,Yes
154401329,11-09-2022,15-10-2022,39,month,Yes
155334828,11-09-2022,11-10-2022,39,month,Yes
154815431,11-09-2022,11-09-2022,39,month,Yes
155343938,11-09-2022,18-08-2023,39,month,Yes
152436458,12-09-2022,12-09-2022,39,month,Yes
154689541,12-09-2022,13-09-2022,39,month,No
